,id,product_quality,staff_service,queues_checkout,assortment_availability,store_cleanliness,other_problem,label_status,label_error
0,74,False,False,False,False,True,False,True,
1,935,False,False,True,False,False,True,True,
2,960,False,True,True,False,False,False,True,
3,1178,False,True,False,False,False,True,True,
4,1263,False,False,False,False,False,True,True,
5,2012,True,False,False,False,False,False,True,
6,2077,False,False,False,False,False,True,True,
7,2202,False,True,False,False,False,False,True,
8,2280,False,True,False,False,False,False,True,
9,2532,True,False,False,False,False,False,True,
10,2823,False,False,False,True,False,False,True,
11,3947,True,False,False,False,False,False,True,
12,4407,True,False,False,False,False,False,True,
13,4498,False,True,False,False,False,True,True,
14,5977,False,False,False,True,False,False,True,
15,5994,False,True,True,False,False,False,True,
16,6038,False,False,False,False,False,False,True,
17,6047,False,False,False,False,False,True,True,
18,6792,True,True,True,False,False,False,True,
19,6981,False,False,False,True,True,True,True,
20,7113,True,True,False,False,False,True,True,
21,7201,False,True,False,False,False,True,True,
22,7205,True,False,False,False,False,False,True,
23,7206,False,False,False,False,False,True,True,
24,7575,False,True,False,False,False,False,True,
25,7824,False,True,False,False,False,False,True,
26,7996,False,True,False,False,True,False,True,
27,7998,True,False,False,True,False,False,True,
28,8116,False,False,False,False,False,True,True,
29,8204,True,True,False,False,True,False,True,
30,8611,False,True,False,False,False,False,True,
31,8632,False,False,False,False,False,False,True,
32,8947,False,False,False,False,True,False,True,
33,9017,True,False,False,False,False,False,True,
34,9219,False,False,False,True,False,False,True,
35,9280,False,False,True,False,False,False,True,
36,9329,False,True,False,False,False,False,True,
37,9367,True,False,False,False,True,False,True,
38,9827,True,True,False,False,False,False,True,
39,9878,True,False,False,True,False,False,True,
40,10455,True,False,False,False,True,False,True,
41,10517,False,True,False,False,False,True,True,
42,10553,True,False,False,False,False,False,True,
43,11331,False,False,False,False,False,True,True,
44,11457,False,True,True,False,False,False,True,
45,11847,False,False,False,False,False,True,True,
46,12279,False,True,False,False,False,True,True,
47,12314,False,False,False,True,False,False,True,
48,12561,True,True,False,False,False,False,True,
49,12634,False,False,False,True,False,False,True,
50,12642,True,True,False,False,False,False,True,
51,12644,True,False,False,False,False,False,True,
52,12674,False,True,False,True,False,False,True,
53,12987,True,False,False,True,False,False,True,
54,13214,True,False,False,False,False,False,True,
55,13257,False,True,False,False,False,False,True,
56,13259,False,True,False,False,False,True,True,
57,13262,True,False,False,False,False,False,True,
58,14511,False,True,False,False,False,True,True,
59,14518,False,True,False,False,False,False,True,
60,15218,False,False,True,False,False,True,True,
61,15286,False,False,False,False,True,False,True,
62,15304,False,False,False,True,True,True,True,
63,15372,True,True,False,False,False,False,True,
64,15920,False,True,False,False,False,True,True,
65,16391,False,False,False,False,False,True,True,
66,16549,False,True,False,False,False,False,True,
67,17443,False,False,False,True,False,False,True,
68,17509,False,True,False,False,False,False,True,
69,17731,False,True,True,False,False,True,True,
70,17748,False,True,True,False,False,False,True,
71,17910,False,False,False,False,True,False,True,
72,17969,False,False,True,False,False,True,True,
73,18223,False,True,False,False,False,False,True,
74,18270,False,True,False,False,False,False,True,
75,18391,False,True,False,False,False,True,True,
76,18476,True,True,True,False,False,False,True,
77,18820,False,False,False,False,False,True,True,
78,18849,True,True,False,False,False,False,True,
79,18867,True,True,False,False,False,False,True,
80,19117,False,True,False,False,False,True,True,
81,19150,True,True,False,False,False,False,True,
82,19262,False,False,False,False,False,True,True,
83,19641,False,False,False,False,False,True,True,
84,19781,False,True,True,False,False,False,True,
85,19832,True,False,False,False,False,False,True,
86,20769,False,True,True,False,False,True,True,
87,20914,True,False,False,False,False,False,True,
88,21001,False,True,False,False,False,True,True,
89,21486,False,False,False,False,False,True,True,
90,21998,True,False,False,False,False,False,True,
91,22580,False,True,True,True,False,False,True,
92,22682,True,True,False,True,False,False,True,
93,22815,False,True,False,False,False,True,True,
94,22943,False,False,False,False,False,True,True,
95,23269,False,True,False,False,False,False,True,
96,24487,True,True,True,False,False,True,True,
97,25844,False,True,True,False,False,False,True,
98,25925,False,True,False,True,True,False,True,
99,26073,True,True,False,False,False,False,True,
100,26078,False,False,False,False,False,True,True,
101,26359,True,True,False,False,False,False,True,
102,26363,False,True,False,False,False,False,True,
103,26434,False,False,False,True,True,True,True,
104,26518,False,False,False,False,False,True,True,
105,26672,True,False,False,False,False,False,True,
106,27595,False,False,False,True,False,False,True,
107,27821,False,True,False,False,False,False,True,
108,28089,True,True,False,False,False,False,True,
109,28384,True,False,False,False,True,False,True,
110,28440,False,False,True,False,True,True,True,
111,29139,True,False,False,False,False,False,True,
112,29160,True,False,False,False,False,False,True,
113,29171,True,False,False,False,False,False,True,
114,29172,True,False,False,False,False,True,True,
115,29230,True,False,False,False,False,False,True,
116,29395,False,False,False,True,False,False,True,
117,29424,False,True,False,False,False,False,True,
118,29434,True,False,False,False,False,False,True,
119,29609,False,True,True,False,False,False,True,
120,30152,False,True,False,False,False,True,True,
121,30259,False,True,False,False,False,True,True,
122,30370,True,False,False,False,False,False,True,
123,30392,True,True,False,False,False,True,True,
124,30430,False,True,False,False,False,True,True,
125,30528,False,True,True,False,False,False,True,
126,30592,True,False,False,False,False,False,True,
127,30719,False,False,False,False,False,True,True,
128,31703,True,False,True,False,True,False,True,
129,31735,True,True,True,False,False,True,True,
130,32231,False,True,False,False,False,False,True,
131,32567,False,True,False,False,False,True,True,
132,32894,False,True,False,True,False,False,True,
133,33047,False,True,False,False,True,True,True,
134,33464,False,True,True,False,True,False,True,
135,33649,False,False,False,False,False,True,True,
136,33674,False,True,False,False,False,True,True,
137,33999,False,False,True,True,False,False,True,
138,34179,True,False,False,False,False,False,True,
139,34621,True,False,False,False,False,False,True,
140,34635,False,True,True,False,True,True,True,
