,address,name_ru,rating,rubrics,text,is_grocery,id,len,product_quality,staff_service,queues_checkout,assortment_availability,store_cleanliness,other_problem
0,"Краснодарский край, Сочи, жилой район Адлер, улица Молокова, 30, корп. 2",Черемушки,2,Супермаркет;Магазин продуктов,Самый неопрятный магазин.Еще и тараканы бегают,True,74,46,False,False,False,False,True,False
1,"Свердловская область, Екатеринбург, улица Черепанова, 12А",Магнит косметик,2,Магазин продуктов;Магазин хозтоваров и бытовой химии;Супермаркет,"Вместо мегамарта открыли очередной Магнит. Всё,как везде. Вечно очередь стоит,так как работает 1 кассир,остальные полки загружают. Понятно,дефицит кадров. Столкнулась с привычной историей- несоответствие цены на ценнике и цены на кассе. Взяла масло подсолнечное по акции: 79.9 руб. А на кассе 149.9! Не хило. Возврат тут же провели,без лишних слов. Но деньги то не сразу возвращаются. Ждите 15 дней- сказали в банке. Нормально? Прошло то 2 минуты после оплаты. Впечатление,что продавцы что то мутят с ценами.",True,935,508,False,False,True,False,False,True
2,"Московская область, Раменский городской округ, деревня Петровское, Школьная улица, 1Г",Дикси,1,Супермаркет;Магазин продуктов,"Отвратительный магазин, кассы не удобные и очень маленькие + тесные, касиры хамовитые, мясяца 3 у них небыло ни корзин не тележек.",True,960,130,False,True,True,False,False,False
3,"Свердловская область, Новоуральск, улица Ленина, 62",Красное&Белое,2,Магазин алкогольных напитков;Магазин продуктов,"Добрый вечер! Зачем ваши сотрудники втюхивают, что не нужно. Пришёл в ваш магазин, взял что мне нужно. Взял водку Тундра 309,89 руб. Они мне настоятельно порекомендовали другую водку Сенега или Пенега. Я только покупаю на спирту ""альфа"". Продавцы тоже сказали это водка тоже ""альфа"". Ну и взял в конечном итоге. А оказалось спирт ""люкс"". В конечном итоге весь день болел . Я к чему это говорю. Зачем ваши сотрудники обманывают? Я понимаю прекрасно, чем больше они обманут, тем выше у вас премия будет больше. На Ленина, 62 вообще безпардонные сотрудники. Всякую ерунду предлагают. Зачем вы навязывает людям? И обманываете людей? Надеюсь вы разберётесь в данном вопросе. Чуть ли не принудительно втюхивают ваш сотрудник Александр!!!",True,1178,731,False,True,False,False,False,True
4,"Москва, Скобелевская улица, 23",Дикси,1,Супермаркет;Магазин продуктов,"Постоянно ценники не соответствуют цене на кассе. Часто надо смотреть цену на приборе, т.к.нет ценника,а это не удобно.",True,1263,119,False,False,False,False,False,True
5,"Смоленск, улица Нахимова, 20",Бисквит,1,Кондитерская;Магазин продуктов,"Купили «Красный бархат» 29 апреля в 17:00 на улице Нахимова. Торт не соответствует своим заявленным качествам. Не сладкий. Коржи странные и странного цвета. Крем точно не натуральный сливочный крем. Праздник был испорчен. Ужасное качество. При этом готовы купить и дороже, заехали так как было удобно по пути. ",True,2012,310,True,False,False,False,False,False
6,"Киров, Первомайский район, улица Розы Люксембург, 34",Дары моря,1,Магазин рыбы и морепродуктов;Магазин продуктов,"Их постоянно обкрадывают на икру, вешаешь 100 грам, её сразу уносят на кассу, если орут чья то как то стыдно, когда молча уносят можно на кассе ее забыть если много чего другого купил, или тебе кассир маркетолог зубы заговорит рекламой консерв с осетрами, капец короче",True,2077,268,False,False,False,False,False,True
7,"Санкт-Петербург, Садовая улица, 90",Ладоград,2,"Магазин мяса, колбас;Магазин продуктов","В этот магазин ходила за продуктами с самого его открытия, живу в пешей доступности. Всем его рекомендовала.\nНо в последнее время частенько не могу туда попасть. Закрываются за 15- 20 минут  до 21-00, причем перед самым носом. Подходишь к магазину, оттуда продавщицы с сигаретами выходят, закрывают двери и стоят в арке рядом курят. Говорят, что к ним никто не ходит, нет смысла работать до девяти. Зря потратить свое время,согласитесь, всегда крайне неприятно.\nЕще пока не сталкивалась с таким отношением к покупателю в других подобных магазинах . \nНу напишите тогда,что работаете не до 21-00, а до 20:38. Чужое время и силы, потраченные на дорогу до магазина, пожалейте, пожалуйста , тоже.\nОценка самому магазину и ассортименту пять звёзд, а вот персонал странновато себя ведёт теперь. Крайне разочарована.",True,2202,812,False,True,False,False,False,False
8,"Смоленск, улица Шевченко, 58",Микей,2,Магазин продуктов;Магазин хозтоваров и бытовой химии,"Качество продуктов и чистота в магазине радуют, но вот эти временные продавцы, которые приходят в магазин на 1-2 дня это ужас. Набирают хрен пойми откуда. Недавно покупала прокладки и мне довольно молодой кассир, на вид лет 18-20 заявил, что мне должно было быть стыдно покупать одни прокладки и чтоб это было не так заметно, нужно было взять что-то ещё, либо пойти на кассу к кассиру девушке, а ему видите ли неприятно пробивать мне такие ""отвратительные вещи"". Оставила на него жалобу, но в магазин этот больше не ногой, впервые встречаю таких неадекватых, некомпетентных, хамских работников. ",True,2280,595,False,True,False,False,False,False
9,"Оренбург, микрорайон Красный Городок, улица Жуковского, 18/1",Величество трапеза,1,"Производство продуктов питания;Магазин продуктов;Магазин мяса, колбас","Купил сегодня в магазине ""Тройка"" пельмени ""Татарские"" мало того что пельмени оказались слегка изувеченые при лепке но и вкус оказался еще тот. Тесто местами толстое и жесткое. Дату производства не нашел. Срок годности не нашел. Покупаем полуфобрикаты крайне редко в виду особеностей ребенка и бабушки. Нареканий к данному производителю не бы. Теперь эту продукцию буду обходить стороной. Мои съели по паре штук и отказались. Так и не понял толи просрочка толи просто тухлятина. Продукцию оценила только Барбоска.",True,2532,513,True,False,False,False,False,False
