text,id,product_quality,staff_service,queues_checkout,assortment_availability,store_cleanliness,other_problem
"Не самый хороший Гуливер в городе. Неудобное время работы - начинают свой рабочий день с 8.00. Очень небольшой ассортимент товаров- молочная продукция, бытовая химия.  Зато хороший выбор сыров. В принципе, как магазин, находящийся в шаговой доступности, устраивает.",361967,False,False,False,True,False,False
"Заходили с ребенком купили макаронс цены на него не было. На Каме оказался 92 р не хило так то, с учетом того что эти макаронс стоят 60-80 р. \nПопросила мужа купить ребёнку попкорн и сахарную вату, купил со скором который почти истек. Как его открыли летом так и лежат товары. Проходимость маленькая , цены высокие. Хоть ассортимент большой. ",34803,True,False,False,False,False,False
"Отстойно, цены высокие, всегда грязь на полу, более одной кассы работает в исключительных случаях, ассортимент постоянно меняется - никогда нельзя рассчитывать на то, что в магазине есть определенный товар (хотя ассортимент достаточно большой). Персонала конкретно не хватает. Заезжать на парковку неудобно, если едешь в сторону Подольска.",235565,False,True,True,True,True,False
"Отвратительный магазин, кассы не удобные и очень маленькие + тесные, касиры хамовитые, мясяца 3 у них небыло ни корзин не тележек.",960,False,True,True,False,False,False
"В целом магазин не плохой, но...\n2-3 недели назад купили в мясном отделе куриные голени, по приходу домой,открыв пакет почувствовал что они слегка тухлые,нести обратно не было возможности так как открыл часа в 23. Сегодня купили там же куриную печень,и снова мимо, печень воняет кислым, крайне не советую брать там что-то куриное, на счёт остального не знаю.\nP.S. скупой платит дважды, тупой трижды...",142562,True,False,False,False,False,False
"Магнит как много в этом звуке...данный магазин  на демократической как магнитом притягивает бомжей,собак  всех мастей для лежек и посиделок внутри магазина или возле дверей.бывает что изза их амбрэ невозможно заниматься покупками.персоналу видимо фиолетово,относяться снисходительно к данным постояльцам.Всегда очередины.Будьте внимательны с ценниками и внимательно проверяйте товар.В этом магазине нет аппарата для тестирования цены и частенько в пробитом чеке другая цена более высокая .И еще: продукция из кур всегда протухшая.на что персонал в хамской форме доказывает что это нормально и сам ест такую продукцию.но при открытии холодильника запах тухлятины бьёт наповал.для нивилированиязапаха вечно перематывают лотки очередным слоем целофана.Продавцы вполне вежливы, но администратор хамит.",317013,True,True,True,False,False,False
"Продавец Сафронова Юлия Александровна (беловолосая с очками), грубо и нетактично ведёт себя по отношению к покупателям. Я пришёл 6 июля со своим рюкзаком, в который складываю продукты и наушниками, в которых была музыка, хотел чтобы меня обслужили без слов, приготовил рюкзак и стал ждать, но на вопрос мне ""Вам нужен пакет?"", я промолчал, дав понять что у меня рюкзак есть и вообще ничего я не хочу, в общем не дал ответа, ожидая пока она пробьёт товар. Она не поняла и стала смотреть на меня... Молчим... Чтобы дело дальше пошло мне пришлось снять наушники и ответить ей, хотя я этого делать не обязан. Захотел бы пакет, то попросил бы его. Сказав нет, она начала возмущаться мол она должна спрашивать. Я ей сказал, что видно же, что я игнорирую и мне не надо ничего лишнего. Она обиделась и сказала мол на улице я бы тебе ответила грубо. Позвал директора, обсудили, но в разговор ввязалась вновь она и начала спорить, поднимая голос. Директор вместе того, чтобы обсуждать проблему на уровне клиента и руководителей магазина, начала мне задвигать за мораль, что продавцы устают, хотя и поняла, что продавец повёл себя неправильно. Я понимаю, что продавцы устают, но мне что нельзя прийти молча в магазин, оплатить и уйти спокойно без разговоров и хамства? После директор сказала мол не хочет меня воспитывать и лечить (разве такое директор может говорить?), сказала мол я их рабами считаю, что в корне не так и сказала мне обратиться к супервизору. Супервизор, проведи работу с персоналом, чтобы они вели себя спокойно и адекватно. Устаёте и хотите, чтобы к вам относились хорошо, но при этом сами ведёте себя неподобающе. Мне не нужна была оценка меня как человека, сугубо как клиента, а клиенты все разные. Двойные стандарты получается. Может я вообще немой? Не ответил на вопрос о пакете и что? В чём проблема просто пробить товар раз вам не хотят отвечать? Если бы мне надо было я бы в конце сказал ""можно мне пакет"". Разберитесь, пожалуйста.",85052,False,True,False,False,False,False
"Нехватка персонала, плохая выкладка товаров, постоянное несоответствие ценников, беспорядок, огромные очереди на кассу. Попадаются не свежие продукты и с истекшим сроком.",256977,True,False,True,True,True,False
"Цены завышены,персонал не воспитан. Ну и без просрочки никуда",69119,True,True,False,False,False,False
"Славу Богу закрыли этот безобразный во всех отношениях магазин, которым управляла хамка и грубиянка по имени Анастасия. На замечания о просроченном товаре и элементарной грязи в магазине отвечала грубостью и оскорблениями. И коллектив подбирала под свой стиль. А о внешнем виде этих горе продавцов говорить не хочется: всегда неопрятны, с грязными нечесаными волосами. Неужели сложно ввести элементарный дресс- код? ",90877,True,True,False,False,True,False
"В колхозе магазины и чище и асортимент хороший, а там половину лежит которую давно надо было списать, они списывают конечно, но очень долго не делают это, а всё потому что работать не хотят",262681,True,False,False,False,False,False
Цена на кассе очень часто не совпадает с ценой на ценниках. Продавцы могут позволить себе грубые слова в адрес покупателей.,110631,False,True,False,False,False,False
"Муж пришёл за стиками, работала одна касса не рядом, мы подошли, подождали, когда обслужат покупателя (после покупателя никого не было), и спросили у нее же спросить стики с другой кассы, но подошёл другой покупатель с продуктами и она начала обслуживать его -ладно, бывает, ничего страшного. Но на наш вопрос по стики , она просто сказала ""подождите, а"", хотя мы пришли раньше - не страшно. Но ответить то можно было, хотя бы. Я пошла к стойке отзывов и предложений - нет ручки, это, кстати , нарушение. Конечно, ее и не дали - что тоже нарушение. Просьба хотя бы уголок потребителя привести в порядок, с уважением, Татьяна. ",70896,False,True,True,False,False,False
"Небольшой в сравнении с другими спарами магзин. Но почему-то именно здесь решили, что кулинария, которой так известен бренд Спар, и сама себя купит. Постоянно сталкиваюсь с безразличием персонала. Заходишь с утра - продавца в салат-баре нет от слова совсем. В пекарне какой-то узбек будет видеть, что ты ждешь продавца, но при этом вместо того, чтобы помочь тебе найти сотрудника или самому встать за прилавок, будет ехидно улыбаться. \nПредлагаете побегать по магазину в поиске свободной Гали? Спар! Удачи вам, но вокруг достаточно мест, где можно потратить деньги с меньшими затратами нервов.",63518,False,True,False,False,False,False
"Не скажу по поводу мяса, но отдел где рыба обвешивает до 200 граммов с кило, специально следил на показания весов и ценник, дома перевешивал на своих электронных весах и выходило от 150 до 200 гр разницы, наглость продавцов поражает, наблюдал это на 2-3 покупках, единственный повод почему приходится терпеть это, это то что там более-менее свежее все. ",463272,False,True,False,False,False,False
"отличное качество продуктов и хороший выбор. хамское отношение продавцов. грязнвми руками суют в грязные пакеты( потом и наличку берут этими руками). что купили не подписыавают- срать на вас. в следующий раз приду, а приду - могу одной из ску и по морде дать!",320380,True,True,False,False,True,False
"Персонал отвратительный. Мы зашли, поздоровались, а они вместо того чтобы поздороваться с нами, просто дальше болтали на весь магазин между собой ",247096,False,True,False,False,False,False
"Очень хорошее мороженное в магазине, есть скидка на молочную продукцию, активия, Данон, Киндер. Из минусов, оплачивала товар на кассе, аппарат не выдал чек, хотя деньги у меня списали. Из-за этого старший работник торгового зала не хотела отдавать товар. Потратила на разборки 40 минут, пришлось даже принести выписку из Сбербанка.",332950,False,True,True,False,False,False
"Наведите уже порядок в магазине. Безобразие на полках и ценники часто не соответствуют товарам. Грязь на полках, корзины противно в руки брать. Сотрудники истерично хамят на кассе,  пренебрежительное отношение к своей работе. ",148440,False,True,False,False,True,False
"Цены здесь конечно процентов на 50 больше на, чем в других магазинах города",99051,False,False,False,False,False,True
