address,name_ru,rating,rubrics,text,is_grocery,id
"Санкт-Петербург, улица Коллонтай, 12, корп. 1",Пятёрочка,5,Супермаркет,"Чистота, без просроченных продуктов, персонал доброжелательный, свободные кассы.",False,95
"Саратов, Московское шоссе, 18/1",Пятёрочка,5,Супермаркет,"Очень хочется отметить добродушный персонал и отзывчивость руководителя, в частности директора данного магазина. Цены в данной сети магазинов стали на порядок дешевле чем раньше, а качество обслуживания повысилось, по сравнению с годами ранее. Если раньше я скорее выбрала бы Магнит, то сейчас цена и качество вполне на уровне.",False,181
"Московская область, Мытищи, Олимпийский проспект, 8",Пятёрочка,5,Супермаркет,"Оченьчистый и просторный магазин. Персонал вежливый и доброжелательный. Всегда подскажут и помогут. На некоторые товары нет ценников, но это и понятно при таком многообразном выборе товара. Те что есть соответствуют действительности. Я очень довольна.",False,183
"Московская область, Богородский городской округ, рабочий посёлок имени Воровского, улица Воровского, 56",Пятёрочка,4,Супермаркет,"Большой ассортимент, чисто, большой выбор, всё оперативно выкладывают. Хорошая парковка. Учитывайте, что сотовая связь совсем не ловит у теле2 и Билайна.",False,395
"Рязань, район Песочня, улица Новосёлов, 40А",Пятёрочка,5,Супермаркет,Магазин после новогодних праздников обновился. Заиграл новыми красками. Чистый. Продукты повседневного использования надлежащего качества.,False,425
"Краснодарский край, муниципальное образование Геленджик, село Кабардинка, Революционная улица, 76",Пятёрочка,5,Супермаркет,"Чисто, современно, можно сварить кофе в кофемашине. Для удобства покупателей есть кассы самообслуживания. Магазин находится в центре поселка, напротив автовокзала.",False,572
"Орёл, улица Металлургов, 15",Пятёрочка,4,Супермаркет,Хороший магазин еды много а так магазин как магазин есть почти всё,False,627
"Санкт-Петербург, Парашютная улица, 10",Пятёрочка,4,Супермаркет,"Персонал - обычный, ассортимент не большой, но разнообразие имеется. Хорошее расположение продуктового, рядом с зоомагазином и фикс прайсом. Качество самое разнообразное, довольно чисто...",False,833
"Санкт-Петербург, Парашютная улица, 10",Пятёрочка,1,Супермаркет,"Персонал старается, выбор товаров есть, но не всегда. Если идешь рано утром, то многое не выложено и очень грязно, только начинают уборку. Ещё очень грязно вокруг самого здания, где находится магазин. Идешь как по помойке.",False,834
"Московская область, Раменский городской округ, посёлок Рылеево, 7",Пятёрочка,5,Супермаркет,"Хороший магазин в шаговой доступности. Всё есть, выбор отличный, магазин просторный, персонал хороший, приветливый. Цены доступные, всегда всё свежее. В магазине чисто. Молодцы.",False,1034
"Московская область, Раменский городской округ, село Михайловская Слобода, Старорязанская улица, 1",Пятёрочка,5,Супермаркет,"Тихо, чисто, аккуратно. Скоро начнут продавать доски и гвозди. 5ка и есть 5ка. Стоянка хорошая, удобная почти, главное при выезде жопой не впечататься  в камаз.",False,1035
"Московская область, Балашиха, микрорайон Ольгино, Главная улица, 22Б",Пятёрочка,5,Супермаркет,"Очень замечательный магазин.Всегда всё чисто.Свежие продукты и всегда большой выбор ассортимента продуктов.\nВежливый персонал.\nВчера показали двух  татар одетых в дешёвую, грязную одежду.Оба хаили сотрудников магазина за то , что нет пива различного и не продают сигареты штучно.На одном дешёвые очки.Лет обоим до 60 и один татарин, другому говорит, что он его друг татарин душевнобольной и он с ним ездил.\nОба купили пиво в праздник 29.06.2023 года.\nОдин говорит, что его дочь Динара носила очки и была косая и после операции у неё всё нормализовалось.\nПлохо, что эти два татарина хают этот хороший магазин.",False,1088
"Москва, поселение Краснопахорское, село Красная Пахра, Заводская улица, 28",Пятёрочка,5,Супермаркет,"Очень люблю нашу Пятерочку. Всегда чисто, много тавара продавцы вежливые и обходительны. Есть одна просьба и предложение, Пересмотрите пожалуйста график уборки территории вокруг магазина. Начинают чистить снег после 23 часов и в 5 - 6 утра. Очень шумно. С уважением ваши посетители. Давайте жить дружно!",False,1184
"Москва, поселение Краснопахорское, село Красная Пахра, Заводская улица, 28",Пятёрочка,5,Супермаркет,"Отличный магазин. Доброжелательный персонал, удобная выкладка, разнообразный ассортимент продуктов ежедневного спроса. И главная фишка - пекарня - свежий, горячий хлеб и выпечка.",False,1185
"Свердловская область, Екатеринбург, улица Уральских Рабочих, 54",Пятёрочка,4,Супермаркет,"Норм пятерка, из-за того что много посетителей у них постоянно заканчиваются акционные товары и плюшки, но магазинкомпактный и расположен хорошо.",False,1400
"Свердловская область, Екатеринбург, улица Уральских Рабочих, 54",Пятёрочка,5,Супермаркет,"Хожу в эту пятерочку из принципа чтобы не ходить в монетку где меня обвинили в воровстве, а так магазин хороший, в нем лучше некая атмосфера, но иногда не могу найти нудные продукты",False,1401
"Московская область, Одинцовский городской округ, Звенигород, Московская улица, 22",Пятёрочка,4,Супермаркет,"Заехал случайно. Неудобно обходить здание, дороги односторонние… В остальном стандартная «Пятёрочка» с расширенным уровнем сервиса: пекарня, зона кофе и закусок. Но особенно порадовал персонал, не ожидал от женщины из средней Азии такого уровня разговорной речи (я не ***, просто привык к акценту и более просторечивым оборотам), а радушие и вежливость!!! Видно было, что человек реально от души старается! Если можно премировать персонал, очень настаиваю))) Рекомендовано к посещению однозначно!",False,1420
"Московская область, Одинцовский городской округ, Звенигород, Московская улица, 22",Пятёрочка,5,Супермаркет,"новый ремонт, всё чисто, аккуратно выложено, хороший ассортимент, приятно находиться. \n",False,1421
"Московская область, Одинцовский городской округ, Звенигород, Московская улица, 22",Пятёрочка,5,Супермаркет,"Хороший магазин, особенно скидки;\nВежливые сотрудники.",False,1422
"Московская область, Одинцовский городской округ, Звенигород, Московская улица, 22",Пятёрочка,5,Супермаркет,"Большой ассортимент. Достаточно чистый зал,т.к новый еще магазин)",False,1423
"Нижегородская область, Семёнов, улица Краюшкина, 5",Пятёрочка,5,Супермаркет,"Чистый просторный и парковка хорошая, Магазин Пятёрочка \nОгромное спасибо за отзывчивый персонал, достойный ассортимент, всегда чисто ,светло ,свободно ,удобное расположение, качество товара на хорошем уровне, ценники актуальные, очень часто интересные акции и предложения. Всегда хочется пойти именно в этот магазин и рекамендую коллегам и соседям. Спасибо сотрудникам за то что всегда готовы прийти на помощь нам вашим покупателям.",False,2646
"Республика Татарстан, Казань, улица Восстания, 83",Пятёрочка,5,Супермаркет,"Цены хорошие, довольно часто скидки, офигенно место, всем советую",False,4115
"Москва, Липецкая улица, 13, корп. 2",Пятёрочка,5,Супермаркет,После ремонта стало гораздо лучше. Ассортимент и свежесть продукции всегда на высоте. Но кассирам хочется пожелать больше доброжелательности. Далеко не все клиентоориентированы. Также пресса часто устаревшая.,False,4231
"Тульская область, Киреевск, улица Чехова, 10",Пятёрочка,5,Супермаркет,"Хороший магазин. Рядом с домом. Всегда есть то, что нужно",False,4539
"Ленинградская область, Гатчина, проспект 25 Октября, 42, лит.О",Пятёрочка,4,Супермаркет,"Хороший магазин, есть некоторые товары,которых больше нигде не найти.Все относительно свежее. Ещё один плюс, редко бывают большие очереди.\n",False,4798
"Санкт-Петербург, Новоизмайловский проспект, 40, корп. 2",Пятёрочка,5,Супермаркет,"Стала намного лучше ,чем раньше. Хороший выбор  товара, вежливый персонал, качество товара хорошее. Стало чисто,  рядом с домом.",False,7234
"Московская область, Чехов, улица Мира, 2А",Пятёрочка,5,Супермаркет,"Магазин удобно расположен! \nМного акционных товаров! \nВежливые продавцы, кассиры\nБыстрое обслуживание на кассе",False,7273
